image_name,part_0_x,part_0_y,part_1_x,part_1_y,part_2_x,part_2_y,part_3_x,part_3_y,part_4_x,part_4_y,part_5_x,part_5_y,part_6_x,part_6_y,part_7_x,part_7_y,part_8_x,part_8_y,part_9_x,part_9_y,part_10_x,part_10_y,part_11_x,part_11_y,part_12_x,part_12_y,part_13_x,part_13_y,part_14_x,part_14_y,part_15_x,part_15_y,part_16_x,part_16_y,part_17_x,part_17_y,part_18_x,part_18_y,part_19_x,part_19_y,part_20_x,part_20_y,part_21_x,part_21_y,part_22_x,part_22_y,part_23_x,part_23_y,part_24_x,part_24_y,part_25_x,part_25_y,part_26_x,part_26_y,part_27_x,part_27_y,part_28_x,part_28_y,part_29_x,part_29_y,part_30_x,part_30_y,part_31_x,part_31_y,part_32_x,part_32_y,part_33_x,part_33_y,part_34_x,part_34_y,part_35_x,part_35_y,part_36_x,part_36_y,part_37_x,part_37_y,part_38_x,part_38_y,part_39_x,part_39_y,part_40_x,part_40_y,part_41_x,part_41_y,part_42_x,part_42_y,part_43_x,part_43_y,part_44_x,part_44_y,part_45_x,part_45_y,part_46_x,part_46_y,part_47_x,part_47_y,part_48_x,part_48_y,part_49_x,part_49_y,part_50_x,part_50_y,part_51_x,part_51_y,part_52_x,part_52_y,part_53_x,part_53_y,part_54_x,part_54_y,part_55_x,part_55_y,part_56_x,part_56_y,part_57_x,part_57_y,part_58_x,part_58_y,part_59_x,part_59_y,part_60_x,part_60_y,part_61_x,part_61_y,part_62_x,part_62_y,part_63_x,part_63_y,part_64_x,part_64_y,part_65_x,part_65_y,part_66_x,part_66_y,part_67_x,part_67_y
./faces_resize/01.jpg,11,37,12,47,14,56,16,65,19,74,24,81,31,88,40,93,49,94,59,92,66,85,73,78,77,69,79,59,80,50,81,40,81,31,16,35,21,31,27,30,34,30,41,31,52,30,59,28,65,27,72,27,77,31,47,35,48,42,49,49,49,57,43,60,46,61,49,62,53,61,56,59,25,37,29,35,34,34,38,37,34,38,29,39,57,36,61,33,65,32,69,35,66,36,61,36,36,73,41,71,45,70,49,71,53,70,57,70,62,71,58,75,53,77,49,77,45,77,40,76,38,73,45,72,49,73,53,72,60,72,53,72,49,73,45,73
./faces_resize/01aff8432f73d7f60227fcab37116746--actor-headshots-headshot-ideas.jpg,10,34,11,45,13,56,15,67,18,77,22,86,28,93,36,98,48,98,59,98,69,94,75,87,81,78,84,68,86,56,88,45,90,33,15,33,20,29,27,29,35,29,42,31,57,31,63,28,70,27,78,28,84,32,49,37,49,47,48,57,48,67,40,68,44,70,49,72,53,70,57,67,24,38,28,34,33,34,38,39,33,40,27,40,60,38,64,34,70,33,75,37,71,39,65,39,34,81,39,80,44,79,48,80,52,79,57,80,63,81,57,83,52,83,47,84,43,84,38,83,37,81,43,82,48,82,52,82,61,81,52,78,48,78,43,78
./faces_resize/05-ipad-headshot-portfolio.jpg,9,37,10,48,12,59,14,70,17,80,22,89,31,94,43,96,55,97,66,96,75,93,82,87,86,79,88,69,89,59,90,49,89,38,16,26,23,22,30,22,38,23,46,26,60,27,67,24,73,22,80,21,86,25,54,34,54,42,55,51,55,59,47,64,51,65,55,66,58,65,61,63,24,35,29,31,35,31,41,36,35,38,28,38,63,36,69,31,75,31,81,34,76,37,70,38,36,76,43,75,49,74,54,75,58,74,64,74,70,75,64,80,59,82,54,83,50,82,43,81,38,77,49,77,54,77,58,76,68,75,58,77,54,78,50,77
./faces_resize/05tmag-malemodels-slide-9GAA-blog427.jpg,7,35,8,46,9,57,11,68,13,78,18,87,25,93,34,96,45,97,56,97,66,94,75,87,81,79,84,69,87,58,89,48,90,37,13,26,19,23,27,24,34,26,41,29,55,29,63,27,70,26,77,27,84,30,48,37,47,44,46,52,46,59,40,64,43,65,46,67,50,66,53,65,22,35,27,33,33,33,37,38,32,39,26,39,59,39,64,35,70,35,75,38,71,41,65,41,33,80,38,77,43,75,47,76,51,75,56,77,60,81,55,84,50,85,46,86,42,85,37,84,35,80,43,80,47,80,51,80,58,81,50,80,46,80,42,80
./faces_resize/072015-wpvi-kensington-drug-bust-suspect-1.jpg,13,43,14,51,16,59,18,67,21,75,26,82,33,87,40,91,49,92,57,91,64,87,71,81,76,74,79,66,81,57,82,48,81,39,18,37,20,32,26,29,33,28,39,29,51,28,58,26,64,26,71,29,75,34,46,36,47,40,47,45,47,49,42,58,45,58,48,58,50,57,53,57,25,40,28,38,33,37,37,39,33,40,29,41,56,38,60,36,64,36,68,38,64,39,60,39,38,72,41,69,45,66,48,67,50,66,54,68,58,72,54,74,51,75,48,75,45,75,41,74,40,72,45,70,48,70,51,70,55,71,51,70,48,70,45,70
./faces_resize/0ec1b4ad38c8c020e5e1f6891233b27d--blonde-male-models-men-models.jpg,4,31,3,42,5,53,7,63,10,74,16,84,23,92,33,97,45,98,57,97,66,92,74,85,81,75,86,65,89,54,91,43,92,32,9,27,15,22,24,22,33,23,40,27,55,26,62,23,71,21,79,22,85,26,48,35,48,44,47,53,47,62,38,65,42,66,46,68,51,67,55,65,18,33,23,31,29,31,34,35,29,36,23,36,60,35,65,31,71,31,76,33,72,36,66,36,31,79,36,78,42,77,46,79,52,78,57,79,62,80,57,85,51,86,46,87,41,86,35,84,33,80,42,81,46,81,52,81,60,81,51,81,46,82,42,81
./faces_resize/1406879238_민우기.jpg.jpg,14,44,14,52,15,60,17,68,20,76,26,83,32,89,40,93,49,94,58,93,66,89,74,84,80,77,84,69,85,60,86,51,85,43,21,32,24,28,30,26,35,26,40,29,54,28,60,25,66,25,72,27,75,31,47,38,47,44,47,49,48,55,41,61,44,62,48,63,51,62,55,60,27,40,31,38,35,38,39,40,35,41,31,41,56,39,60,37,64,37,68,39,65,40,60,40,35,73,40,70,44,68,48,69,52,68,56,69,62,72,57,75,52,76,48,77,44,76,40,75,37,73,44,72,48,72,52,71,60,72,52,72,48,72,44,72
./faces_resize/159492578.jpg,16,42,17,51,18,60,20,68,22,77,27,85,34,91,41,96,50,97,59,96,67,91,74,85,80,78,83,69,84,60,85,51,86,43,22,34,25,30,31,28,37,29,43,31,54,31,61,29,67,28,73,30,78,34,48,37,47,42,47,47,47,53,42,58,45,59,48,60,51,59,54,58,28,39,32,36,36,36,41,39,36,40,32,40,58,39,62,36,67,36,71,39,67,40,62,40,38,73,42,70,46,68,49,69,52,68,57,70,62,73,57,75,53,77,49,77,46,77,42,76,40,73,46,71,49,71,52,71,60,73,52,72,49,73,46,72
./faces_resize/180977100.jpg,15,41,15,50,16,59,18,68,20,77,25,85,32,92,40,96,49,97,58,95,66,91,73,85,77,77,79,69,80,60,81,51,81,43,22,36,26,31,32,29,38,29,45,31,54,31,60,30,67,30,73,32,76,37,49,36,49,42,49,48,49,54,42,59,45,60,49,61,52,60,55,59,30,39,33,36,37,36,41,38,37,39,33,40,57,39,61,36,65,37,69,40,65,40,61,40,38,72,41,70,45,68,48,69,52,68,56,70,60,72,56,74,52,75,49,76,45,75,41,74,39,72,45,71,48,72,52,71,58,72,52,71,48,72,45,71
./faces_resize/181458108.jpg,24,36,25,43,25,49,26,55,28,61,31,67,36,71,41,75,48,76,54,75,59,72,64,67,67,62,68,56,70,50,71,44,71,38,29,35,32,31,37,31,41,32,46,33,54,34,58,32,62,31,66,32,68,35,50,37,50,41,50,45,50,50,45,52,47,53,50,53,52,53,54,52,35,38,37,36,40,36,43,38,40,39,37,39,55,38,57,36,61,36,63,38,61,39,58,39,40,59,43,59,47,58,49,59,51,58,54,59,57,59,54,62,51,63,49,63,46,63,43,62,41,60,46,60,49,60,51,60,56,60,51,60,49,61,46,60
